iter	Logloss
293	0.3053945801
294	0.3053455566
295	0.305313623
296	0.3052814941
297	0.3052319824
298	0.3052239502
299	0.3052091309
300	0.3051834961
301	0.3051655273
302	0.3051629883
303	0.3051263184
304	0.3050975586
305	0.3050621094
306	0.3050383545
307	0.304988623
308	0.3049724121
309	0.3049385986
310	0.3049080566
311	0.3048739746
312	0.3048042236
313	0.3047611328
314	0.3047430664
315	0.3047267334
316	0.3046936279
317	0.3046694824
318	0.3046501709
319	0.3046133057
320	0.3045863525
321	0.3045606934
322	0.3045145508
323	0.304488916
324	0.3044649414
325	0.3044467529
326	0.3044040527
327	0.3043696777
328	0.3043598145
329	0.3043210449
330	0.3042981934
331	0.3042634277
332	0.3042395752
333	0.3042161133
334	0.3041660645
335	0.3041336914
336	0.3040737305
337	0.3040427246
338	0.3040112549
339	0.3039779053
340	0.3039492188
341	0.3038920654
342	0.3038251465
343	0.3037936279
344	0.3037626221
345	0.3036584961
346	0.3036099121
347	0.3035734863
348	0.3035365723
349	0.3035149414
350	0.3034745117
351	0.3034337891
352	0.3033880859
353	0.303307373
354	0.3032791992
355	0.3032523437
356	0.3032187012
357	0.3031758789
358	0.3031424805
359	0.3030927002
360	0.3030640137
361	0.3030208008
362	0.3029977295
363	0.302951709
364	0.3029234619
365	0.3028841797
366	0.3028316162
367	0.3027831787
368	0.3027567627
369	0.3027195313
370	0.3026864746
371	0.302654248
372	0.3026036621
373	0.302569751
374	0.3025537842
375	0.3024815674
376	0.3024462402
377	0.3024022461
378	0.3023728516
379	0.3023509766
380	0.3023209961
381	0.3022964844
382	0.3022668457
383	0.3022352295
384	0.3022095215
385	0.3021665527
386	0.3021348389
387	0.3021018066
388	0.3020781738
389	0.3019827637
390	0.3019430664
391	0.3019090332
392	0.3018868408
393	0.3018853027
394	0.3018575684
395	0.3018188232
396	0.3017866699
397	0.3017751953
398	0.3017234131
399	0.3016528076
400	0.3016117187
401	0.3015790283
402	0.3015248047
403	0.3014626709
404	0.3014343018
405	0.3013807129
406	0.3013435303
407	0.3013187012
408	0.3012750488
409	0.3012247559
410	0.3011822754
411	0.3011604492
412	0.3011208252
413	0.3010995117
414	0.3010843018
415	0.3010546387
416	0.3010048828
417	0.3009386475
418	0.3008961426
419	0.3008719238
420	0.3008405762
421	0.3008057129
422	0.3007423584
423	0.3007027832
424	0.300667041
425	0.3006199219
426	0.3005674805
427	0.3005371582
428	0.3005066895
429	0.3004701904
430	0.3004312988
431	0.300394043
432	0.3003574463
433	0.300329541
434	0.3003025391
435	0.3002810059
436	0.3002570801
437	0.3002386719
438	0.3001963867
439	0.3001524414
440	0.3001031738
441	0.3000751953
442	0.3000414551
443	0.3000112549
444	0.2999862549
445	0.2999597168
446	0.2999240234
447	0.2998967285
448	0.2998519043
449	0.2998055908
450	0.2997711182
451	0.2997159912
452	0.2996699463
453	0.2996319824
454	0.2996009277
455	0.2995621094
456	0.2995078613
457	0.2994751221
458	0.299453418
459	0.2994286133
460	0.2993911621
461	0.2993543457
462	0.2993118652
463	0.299281958
464	0.2992396484
465	0.2992144531
466	0.2991907227
467	0.2991574707
468	0.2991051514
469	0.299075
470	0.2990477539
471	0.2990288818
472	0.2990130371
473	0.2989725098
474	0.2989502441
475	0.2989152344
476	0.2988973145
477	0.2988761719
478	0.2988470459
479	0.2988256592
480	0.2987838623
481	0.2987732178
482	0.2987224609
483	0.2986806885
484	0.2986322754
485	0.2986003906
486	0.2985670166
487	0.2985279785
488	0.2985019043
489	0.2984836914
490	0.2984515625
491	0.2984009521
492	0.2983671875
493	0.2983320801
494	0.2983143555
495	0.2982706055
496	0.2982263916
497	0.2982072266
498	0.298173291
499	0.2981544189
500	0.2981361328
501	0.2981182617
502	0.2980815674
503	0.2980435547
504	0.298003418
505	0.2979833252
506	0.2979336426
507	0.2979101563
508	0.2978944824
509	0.2978625244
510	0.297832666
511	0.2978166016
512	0.2977594238
513	0.297712085
514	0.2976947266
515	0.297647168
516	0.2976086182
517	0.2975944824
518	0.2975642822
519	0.2975165527
520	0.2974800781
521	0.2974641113
522	0.2974429199
523	0.2974007813
524	0.2973679932
525	0.297331665
526	0.2972738281
527	0.297247583
528	0.2972179932
529	0.2971635254
530	0.2971395508
531	0.2971216797
532	0.2970757813
533	0.2970322266
534	0.2969964355
535	0.2969548584
536	0.2969179932
537	0.2969028076
538	0.2968626465
539	0.2968227051
540	0.2967707275
541	0.296733252
542	0.2966866211
543	0.296647168
544	0.2966175049
545	0.2965725586
546	0.296527002
547	0.2964916016
548	0.296459375
549	0.2964483398
550	0.2964175293
551	0.2963855713
552	0.2963504883
553	0.2963166504
554	0.2962790771
555	0.2962299561
556	0.2961888916
557	0.2961678223
558	0.2961351807
559	0.2961052979
560	0.2960399414
561	0.2960082031
562	0.2959800537
563	0.2959308105
564	0.2959152832
565	0.2958705566
566	0.2958308594
567	0.2957912109
568	0.295760498
569	0.2957216064
570	0.2956889404
571	0.2956711182
572	0.2956348145
573	0.2956060303
574	0.2955702148
575	0.2955430664
576	0.2955250244
577	0.2954892578
578	0.2954193848
579	0.2953541016
580	0.2953130859
581	0.2952962158
582	0.2952547363
583	0.2952338379
584	0.2952075195
585	0.2951806641
586	0.295149585
587	0.2950884521
588	0.2950640625
589	0.2950057617
590	0.2949921387
591	0.2949805908
592	0.2949429687
593	0.29490896
594	0.2948951172
595	0.294873584
596	0.2948384033
597	0.2948061035
598	0.2947902344
599	0.2947607666
600	0.2947181152
601	0.294695752
602	0.2946681885
603	0.29461875
604	0.2945711426
605	0.2945394531
606	0.2945321777
607	0.2945156494
608	0.2944909424
609	0.294478418
610	0.2944606201
611	0.2944497559
612	0.2944036133
613	0.2943705811
614	0.2943348145
615	0.2943201416
616	0.2942480957
617	0.2942237793
618	0.2941977783
619	0.2941704102
620	0.2941522461
621	0.2941343506
622	0.2941074463
623	0.2940863525
624	0.2940688721
625	0.2940253418
626	0.2939852539
627	0.2939464111
628	0.2939163574
629	0.2938943115
630	0.2938524902
631	0.2938106934
632	0.2937751221
633	0.2937500488
634	0.2936993652
635	0.2936555908
636	0.2936195313
637	0.2935858643
638	0.2935430176
639	0.2935111328
640	0.2934496338
641	0.2934032227
642	0.2933860352
643	0.2933582031
644	0.2933299072
645	0.2933208008
646	0.2933095703
647	0.293276416
648	0.2932637695
649	0.2932394531
650	0.2932085938
651	0.2931886719
652	0.2931484131
653	0.2931234863
654	0.2930989746
655	0.2930725586
656	0.29304729
657	0.2930105957
658	0.2929860107
659	0.2929721191
660	0.2929341309
661	0.2929138428
662	0.2928900391
663	0.2928797363
664	0.2928486816
665	0.2928406006
666	0.2928119873
667	0.2928040283
668	0.2927816406
669	0.2927387695
670	0.292729541
671	0.2926793457
672	0.2926571045
673	0.2926352539
674	0.2926123291
675	0.2925784668
676	0.2925054687
677	0.2924505127
678	0.2924140625
679	0.2923941406
680	0.292359668
681	0.2923039551
682	0.2922865723
683	0.2922652344
684	0.2922181152
685	0.2921867676
686	0.2921711426
687	0.2921461914
688	0.292138623
689	0.292115332
690	0.2920772705
691	0.2920136719
692	0.2919983398
693	0.2919537598
694	0.2919304688
695	0.2919070068
696	0.2918630371
697	0.291828833
698	0.2918000244
699	0.2917683105
700	0.2917348633
701	0.2917200684
702	0.291688623
703	0.291672998
704	0.2916484619
705	0.291638208
706	0.2916048828
707	0.2915675293
708	0.2915480469
709	0.2915060059
710	0.2914799805
711	0.2914128418
712	0.2913727783
713	0.2913527344
714	0.2913267578
715	0.2913106934
716	0.2912861328
717	0.2912452637
718	0.2912194092
719	0.2911932129
720	0.2911355469
721	0.2911262207
722	0.2910868408
723	0.2910651855
724	0.2909985107
725	0.2909862793
726	0.2909507324
727	0.2909317871
728	0.290922583
729	0.2908995361
730	0.2908684082
731	0.2908528809
732	0.2908137451
733	0.2907869141
734	0.2907243652
735	0.290689502
736	0.2906788818
737	0.2906480225
738	0.2906322998
739	0.2905772949
740	0.2905724121
741	0.2905429688
742	0.2905095459
743	0.2904891602
744	0.2904640137
745	0.2904417236
746	0.2904177002
747	0.2903881836
748	0.2903526367
749	0.2903132324
750	0.2903028564
751	0.2902713867
752	0.2902428711
753	0.2902236816
754	0.2902005371
755	0.2901473633
756	0.2901354248
757	0.2901144531
758	0.2900599609
759	0.2900512939
760	0.2900332764
761	0.2899908691
762	0.2899808105
763	0.2899534912
764	0.2899406982
765	0.2899212158
766	0.2899021973
767	0.2898737305
768	0.2898479004
769	0.2898188232
770	0.2897831055
771	0.2897588379
772	0.2897282715
773	0.2897134033
774	0.2897014648
775	0.2896798828
776	0.2896481689
777	0.2896215332
778	0.2895938232
779	0.2895629883
780	0.2895300537
781	0.2895090332
782	0.2894769775
783	0.2894420166
784	0.2894190674
785	0.2893673096
786	0.2893528809
787	0.2893224365
788	0.289272168
789	0.2892609131
790	0.2892115234
791	0.2891897461
792	0.2891708984
793	0.2891213623
794	0.2891000977
795	0.2890508789
796	0.2890244629
797	0.2889688965
798	0.2889467285
799	0.288915918
800	0.2888859619
801	0.2888653809
802	0.2888126953
803	0.288801416
804	0.2887878418
805	0.2887408691
806	0.2887191895
807	0.2886977539
808	0.2886749756
809	0.2886554199
810	0.2886262207
811	0.2885749512
812	0.2885282715
813	0.2884799805
814	0.288433252
815	0.2884041504
816	0.2883843018
817	0.2883663086
818	0.2883385742
819	0.2883128662
820	0.2882691162
821	0.2882246094
822	0.2881993164
823	0.2881800537
824	0.2881143311
825	0.2880945801
826	0.2880740723
827	0.2880464355
828	0.2880219971
829	0.287997583
830	0.2879810547
831	0.2879645752
832	0.2879330566
833	0.2879125977
834	0.2878896729
835	0.2878712158
836	0.2878458984
837	0.2878325684
838	0.2877902832
839	0.2877732422
840	0.2877313721
841	0.2876852539
842	0.2876625732
843	0.2876253174
844	0.2875986328
845	0.2875815186
846	0.2875632568
847	0.2875044434
848	0.2874824219
849	0.2874600098
850	0.2874270264
851	0.2874093262
852	0.2873865723
853	0.2873589111
854	0.2873231934
855	0.2873109375
856	0.287293457
857	0.2872655762
858	0.2872563721
859	0.2872253906
860	0.2872046631
861	0.2871839844
862	0.2871642334
863	0.287119873
864	0.2870970703
865	0.2870717529
866	0.2870574707
867	0.287008252
868	0.2869621338
869	0.2869432617
870	0.2869259277
871	0.2868919434
872	0.2868752441
873	0.2868558838
874	0.2868426025
875	0.2868248047
876	0.2868102539
877	0.2867859375
878	0.2867415039
879	0.2866951172
880	0.286669165
881	0.2866531738
882	0.2865911621
883	0.2865679199
884	0.2865468994
885	0.2865289551
886	0.2864922119
887	0.2864708496
888	0.2864462646
889	0.2864187012
890	0.2863868408
891	0.2863588379
892	0.2862997314
893	0.2862685303
894	0.2862138184
895	0.286197168
896	0.2861551514
897	0.2861485352
898	0.2861405762
899	0.2860676758
900	0.2860206055
901	0.2859754883
902	0.2859592529
903	0.2859343506
904	0.285894873
905	0.2858845215
906	0.2858681396
907	0.2858132324
908	0.2857661377
909	0.2857515869
910	0.2857269531
911	0.2857114014
912	0.2856947998
913	0.2856804688
914	0.2856637695
915	0.2856483887
916	0.2856227295
917	0.2856102051
918	0.2856020996
919	0.2855854492
920	0.2855712158
921	0.2855371826
922	0.2855214355
923	0.285483374
924	0.2854475586
925	0.2854300049
926	0.2853924561
927	0.2853670654
928	0.285354126
929	0.2852854492
930	0.2852757813
931	0.2852602051
932	0.2852301514
933	0.2852151855
934	0.2851984619
935	0.2851839355
936	0.2851654541
937	0.2851518555
938	0.2851282715
939	0.2851086914
940	0.2850855957
941	0.2850621094
942	0.2850487305
943	0.2850339355
944	0.2850147949
945	0.2850010986
946	0.2849710938
947	0.2849623779
948	0.2849194092
949	0.2848718018
950	0.2848572266
951	0.284844458
952	0.2848291748
953	0.2848066406
954	0.284789209
955	0.2847684326
956	0.2847470703
957	0.2847084717
958	0.2846933838
959	0.2846635742
960	0.2846279297
961	0.2845768555
962	0.2845312012
963	0.2845099121
964	0.2844662598
965	0.2844360107
966	0.2844221436
967	0.2843781006
968	0.28436604
969	0.2843584961
970	0.2843372803
971	0.284329248
972	0.2843161621
973	0.2843027832
974	0.2842739258
975	0.2842520508
976	0.2842407227
977	0.2842324219
978	0.2842044922
979	0.2841875977
980	0.2841755371
981	0.2841653564
982	0.2841529541
983	0.2841329102
984	0.2841083008
985	0.2840907227
986	0.2840828125
987	0.2840453125
988	0.2840275635
989	0.2839585937
990	0.2839106445
991	0.2838898926
992	0.2838681152
993	0.2838438477
994	0.2837827881
995	0.2837397949
996	0.2837170166
997	0.2836959473
998	0.2836837891
999	0.2836784668
