iter	Passed	Remaining
264	1119	3105
265	1123	3100
266	1127	3095
267	1131	3089
268	1134	3083
269	1138	3078
270	1142	3072
271	1146	3067
272	1149	3061
273	1153	3055
274	1156	3050
275	1161	3045
276	1165	3041
277	1168	3035
278	1172	3029
279	1176	3026
280	1180	3021
281	1184	3015
282	1188	3010
283	1192	3005
284	1196	3000
285	1199	2994
286	1203	2989
287	1207	2984
288	1210	2978
289	1214	2973
290	1218	2968
291	1222	2963
292	1226	2958
293	1229	2952
294	1233	2947
295	1236	2941
296	1240	2936
297	1244	2931
298	1248	2926
299	1251	2920
300	1255	2915
301	1258	2909
302	1261	2902
303	1265	2896
304	1269	2892
305	1273	2887
306	1276	2881
307	1280	2876
308	1284	2871
309	1287	2866
310	1291	2861
311	1295	2856
312	1299	2851
313	1302	2845
314	1306	2841
315	1310	2835
316	1313	2830
317	1317	2825
318	1321	2821
319	1325	2815
320	1328	2810
321	1332	2806
322	1336	2801
323	1340	2795
324	1343	2791
325	1347	2785
326	1351	2780
327	1354	2775
328	1358	2770
329	1361	2764
330	1365	2759
331	1369	2755
332	1372	2750
333	1376	2744
334	1380	2739
335	1384	2735
336	1387	2730
337	1391	2724
338	1394	2719
339	1399	2715
340	1402	2710
341	1406	2705
342	1410	2701
343	1413	2695
344	1417	2690
345	1421	2686
346	1425	2681
347	1428	2676
348	1431	2670
349	1435	2666
350	1439	2661
351	1442	2656
352	1446	2651
353	1450	2646
354	1453	2641
355	1457	2636
356	1461	2632
357	1464	2627
358	1468	2622
359	1472	2617
360	1475	2612
361	1479	2607
362	1483	2602
363	1486	2598
364	1490	2593
365	1493	2587
366	1498	2583
367	1501	2579
368	1505	2574
369	1509	2569
370	1513	2565
371	1516	2559
372	1520	2555
373	1523	2549
374	1527	2545
375	1530	2540
376	1534	2535
377	1538	2531
378	1541	2526
379	1545	2521
380	1549	2517
381	1553	2512
382	1557	2508
383	1560	2503
384	1564	2499
385	1568	2494
386	1571	2489
387	1575	2485
388	1579	2481
389	1583	2477
390	1587	2472
391	1591	2468
392	1594	2463
393	1597	2456
394	1601	2452
395	1605	2448
396	1608	2443
397	1612	2438
398	1616	2434
399	1619	2429
400	1623	2424
401	1626	2419
402	1630	2415
403	1634	2410
404	1637	2406
405	1641	2401
406	1645	2396
407	1648	2391
408	1652	2387
409	1656	2383
410	1659	2378
411	1663	2374
412	1667	2369
413	1670	2364
414	1674	2359
415	1677	2355
416	1681	2351
417	1685	2346
418	1688	2342
419	1692	2337
420	1696	2333
421	1700	2328
422	1704	2324
423	1708	2320
424	1711	2316
425	1715	2311
426	1719	2307
